customer_id,age,gender,country,city,item_purchase_date,item_price,item_category,item_rating,item_qty
1,26,Female,UK,Toronto,2024-05-16,108.85,Automotive,3.1,4
1,26,Female,UK,Toronto,2024-02-09,413.07,Automotive,3.6,1
1,26,Female,UK,Toronto,2024-09-03,164.1,Automotive,3.7,5
1,26,Female,UK,Toronto,2023-12-09,452.66,Automotive,2.1,2
1,26,Female,UK,Toronto,2023-12-17,63.24,Automotive,4.5,4
1,26,Female,UK,Toronto,2024-03-01,195.43,Automotive,1.2,1
1,26,Female,UK,Toronto,2024-08-22,181.6,Automotive,1.1,5
1,26,Female,UK,Toronto,2024-01-15,236.91,Automotive,4.9,3
1,26,Female,UK,Toronto,2024-02-14,458.93,Automotive,3.3,5
1,26,Female,UK,Toronto,2024-09-26,160.01,Automotive,3.1,4
2,55,Male,USA,London,2024-08-24,267.78,Clothing,3.6,3
2,55,Male,USA,London,2024-05-11,486.73,Automotive,4.0,4
2,55,Male,USA,London,2024-11-22,359.25,Electronics,1.8,2
2,55,Male,USA,London,2023-12-17,80.52,Automotive,2.9,4
2,55,Male,USA,London,2024-02-12,273.59,Clothing,1.6,3
2,55,Male,USA,London,2024-02-09,232.53,Clothing,4.5,4
2,55,Male,USA,London,2024-11-09,188.23,Clothing,2.8,4
2,55,Male,USA,London,2024-02-10,352.66,Automotive,1.1,3
2,55,Male,USA,London,2024-02-15,139.54,Clothing,4.3,3
2,55,Male,USA,London,2024-05-26,182.73,Clothing,4.0,5
3,59,Female,UK,New York,2024-03-17,76.07,Clothing,4.4,5
3,59,Female,UK,New York,2024-09-08,341.23,Clothing,1.0,4
3,59,Female,UK,New York,2023-12-09,42.5,Clothing,2.6,2
3,59,Female,UK,New York,2023-12-16,469.1,Clothing,3.6,4
3,59,Female,UK,New York,2024-02-03,471.6,Clothing,1.3,1
3,59,Female,UK,New York,2024-09-30,292.86,Clothing,4.3,1
3,59,Female,UK,New York,2024-11-14,491.49,Clothing,4.5,1
3,59,Female,UK,New York,2024-11-07,320.0,Clothing,1.7,5
3,59,Female,UK,New York,2024-09-11,78.97,Clothing,2.5,5
3,59,Female,UK,New York,2024-02-26,269.85,Clothing,3.8,4
4,36,Male,Canada,Berlin,2024-04-16,299.35,Automotive,3.9,4
4,36,Male,Canada,Berlin,2024-10-02,348.5,Beauty,4.8,2
4,36,Male,Canada,Berlin,2024-02-25,255.99,Toys & Games,2.7,1
4,36,Male,Canada,Berlin,2024-06-12,266.78,Beauty,3.4,2
4,36,Male,Canada,Berlin,2024-08-08,396.73,Beauty,3.3,2
4,36,Male,Canada,Berlin,2024-03-16,406.65,Toys & Games,3.9,2
4,36,Male,Canada,Berlin,2024-01-12,13.84,Automotive,2.9,5
4,36,Male,Canada,Berlin,2024-10-11,74.16,Automotive,3.3,3
4,36,Male,Canada,Berlin,2024-04-09,227.67,Toys & Games,1.8,2
4,36,Male,Canada,Berlin,2024-09-17,170.65,Automotive,4.7,2
5,50,Male,Canada,Sydney,2023-12-15,376.66,Automotive,2.9,1
5,50,Male,Canada,Sydney,2023-12-08,188.37,Books,2.3,4
5,50,Male,Canada,Sydney,2024-02-06,94.84,Books,3.4,1
